Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Mean,EW Std,Normal EW Mean,Normal EW Std,EW Median,Normal EW Median
C3479550,149,50,1980-11-08T17:42:37,149.0,149.98,149.49,142.46,143.44,142.95,221.997,221.997,221.997,280.463,281.443,280.953,98.98644,104.48797,101.73429,14.982221,14.988057,14.98517,82.74654,82.74934,82.747925,86.19716859,24.67,1.3821828,0.08831116,0.17447893,0.0111424,1.36446924,0.17224585
C3479550,150,50,1980-11-08T17:42:37,150.0,150.98,150.49,143.46,144.44,143.95,221.997,221.997,221.997,281.463,282.443,281.953,93.45163,98.878525,96.15785,14.988172,14.993644,14.990936,82.74369,82.74648,82.74509,86.19716859,24.67,1.47951303,0.06663424,0.18683959,0.00843218,1.47410928,0.18614839
C3479550,151,50,1980-11-08T17:42:37,151.0,151.98,151.49,144.46,145.44,144.95,221.997,221.997,221.997,282.463,283.443,282.953,88.01093,93.34252,90.66605,14.99375,14.998845,14.996326,82.74081,82.74362,82.74221,86.19716859,24.67,1.5775011,0.09583191,0.19929149,0.01210683,1.57780803,0.1993383
C3479550,152,50,1980-11-08T17:42:37,152.0,152.98,152.49,145.46,146.44,145.95,221.997,221.997,221.997,283.463,284.443,283.953,82.685394,87.897415,85.28333,14.998946,15.003671,15.001338,82.737915,82.740746,82.739334,86.19716859,24.67,1.65541169,0.1207466,0.20921526,0.01523993,1.69154977,0.21377893
C3479550,153,50,1980-11-08T17:42:37,153.0,153.98,153.49,146.46,147.44,146.95,221.997,221.997,221.997,284.463,285.443,284.953,77.51161,82.58169,80.03356,15.003762,15.008111,15.005966,82.73502,82.73787,82.73645,86.19716859,24.67,1.61946643,0.21938476,0.20475749,0.02775785,1.54332975,0.19509614
C3479550,154,50,1980-11-08T17:42:37,154.0,154.98,154.49,147.46,148.44,147.95,221.997,221.997,221.997,285.463,286.443,285.953,72.52455,77.41076,74.95017,15.008195,15.012166,15.010213,82.73211,82.73496,82.73353,86.19716859,24.67,1.72828014,0.24386357,0.21859655,0.03082501,1.77148289,0.22408001
C3479550,155,50,1980-11-08T17:42:37,155.0,155.98,155.49,148.46,149.44,148.95,221.997,221.997,221.997,286.463,287.443,286.953,67.77026,72.42634,70.07786,15.012244,15.01584,15.014073,82.7292,82.732056,82.73062,86.19716859,24.67,1.25409467,0.04850208,0.1586859,0.00613273,1.24447356,0.15746917
C3479550,156,50,1980-11-08T17:42:37,156.0,156.98,156.49,149.46,150.44,149.95,221.997,221.997,221.997,287.463,288.443,287.953,63.303474,67.67574,65.46507,15.015914,15.019126,15.017548,82.72627,82.729126,82.72771,86.19716859,24.67,1.15695248,0.06051097,0.14645317,0.00766652,1.13774144,0.14402086
C3479550,157,50,1980-11-08T17:42:37,157.0,157.98,157.49,150.46,151.44,150.95,221.997,221.997,221.997,288.463,289.443,288.953,59.19748,63.21796,61.176197,15.019187,15.022024,15.020637,82.72334,82.72621,82.72476,86.19716859,24.67,1.28218065,0.12876617,0.16237107,0.01631939,1.24807465,0.15802551
C3479550,158,50,1980-11-08T17:42:37,158.0,158.98,158.49,151.46,152.44,151.95,221.997,221.997,221.997,289.463,290.443,289.953,55.528496,59.12154,57.285294,15.0220785,15.024529,15.023334,82.72039,82.72328,82.72182,86.19716859,24.67,1.15544934,0.07484986,0.1463797,0.00947733,1.15373378,0.14616563
